"IYR","IMO","RAILROAD","INCDTNO","IYR2","IMO2","RR2","INCDTNO2","IYR3","IMO3","RR3","INCDTNO3","DUMMY1","GXID","YEAR","MONTH","DAY","TIMEHR","TIMEMIN","AMPM","TYPE","CARS","CARSDMG","CARSHZD","EVACUATE","DIVISION","STATION","MILEPOST","STATE","TEMP","VISIBLTY","WEATHER","TRNSPD","TYPSPD","TRNNBR","TRNDIR","TONS","TYPEQ","EQATT","TRKNAME","TRKCLAS","TRKDNSTY","TYPTRK","RRCAR1","CARNBR1","POSITON1","LOADED1","RRCAR2","CARNBR2","POSITON2","LOADED2","HEADEND1","MIDMAN1","MIDREM1","RMAN1","RREM1","HEADEND2","MIDMAN2","MIDREM2","RMAN2","RREM2","LOADF1","LOADP1","EMPTYF1","EMPTYP1","CABOOSE1","LOADF2","LOADP2","EMPTYF2","EMPTYP2","CABOOSE2","EQPDMG","TRKDMG","CAUSE","CAUSE2","CASKLDRR","CASINJRR","CASKLD","CASINJ","ACCAUSE","ACCTRK","ACCTRKCL","HIGHSPD","ACCDMG","DUMMY2","STCNTY","TOTINJ","DUMMY3","TOTKLD","ENGRS","FIREMEN","CONDUCTR","BRAKEMEN","ENGHR","ENGMIN","CDTRHR","CDTRMIN","JOINTCD","REGION","DUMMY4","TYPRR","DUMMY5","RRDIV","METHOD","NARRLEN","DUMMY6","YEAR4","RREMPKLD","RREMPINJ","PASSKLD","PASSINJ","OTHERKLD","OTHERINJ","COUNTY","CNTYCD","ALCOHOL","DRUG","DUMMY7","PASSTRN","SSB1","SSB2","NARR1","NARR2","NARR3","NARR4","NARR5","NARR6","NARR7","NARR8","NARR9","NARR10","NARR11","NARR12","NARR13","NARR14","NARR15","RCL","Latitude","Longitud","SIGNAL","MOPERA","ADJUNCT1","ADJUNCT2","ADJUNCT3",SUBDIV
"23","01","NS","152063","23","01","CWRO","ZZZZZZZZZZ","23","01","NS","152063","","","23","01","21","11","45","PM","01","0","0","0","0","","","000.00","","34","","2","000","E","","","0","","","CR02","1","0005","2","","","000","","","","000","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","H601","H318","0","0","0","0","H601","2","1","000","100","","","0","000000","0","0","0","0","0","","","","","1","","","CL","","","","212","","2023","0","0","0","0","0","0","","","","","","N","CWR","","CWRO CREW KICKED EMPTY CARS INTO CR02 BEFORE SHOVING BACK AND TYING ONTO THEM AND THE 10 LOADED CARS","PREVIOUSLY IN THE TRACK. THE EXCESSIVE COUPLING SPEED OF THE KICKED CARS CAUSED 3 CARS TO DERAIL WH","ILE SHOVING.","","","","","","","","","","","","","","41.45926","-81.679604","2","5","K","","","KEYSTONE",
"23","01","ARR","2023004","","","","","23","01","ARR","2023004","","","23","01","17","1","58","AM","09","19","0","0","0","","GIRDWOOD","71.36","02","35","4","2","020","E","120N","1","6091","1","Y","MAIN","2",".95","1","ARRC","003002","001","N","","","000","","3","0","0","0","0","3","0","0","0","0","47","0","1","0","0","0","0","0","0","0","142000","134000","M101","M505","0","0","0","0","M101","1","2","020","276000","","02C020","0","000000","0","1","0","1","0","05","53","05","53","1","8","","Cl","","","","299","","2023","0","0","0","0","0","0","ANCHORAGE","020","00","00","","N","OTH","000-000-000","120N DEPARTED WHITTIER 1/17/2023 AT 01:06 WITH (ARR 3002 LEAD, ARR 3006, ARR 3001 TRAIL), 47 LOADS-","1 EMPTY, 6091 TONS, 3144 FEET. NORTHWARD MOVEMENT WAS STOPPED AT 01:58 AT APPROXIMATELY MILE POST 71",".5 ON THE KENAI SUBDIVISION DUE TO AN ESTIMATED 15-20 FEET OF AVALANCHE DEBRIS COVERING THE TRACKS.","","","","","","","","","","","","","0","60.918","-149.119","2","2","","","","KENAI PENINSULA",
"23","02","BNSF","KS0223101","","","","","23","02","BNSF","KS0223101","","","23","02","07","10","26","AM","01","0","0","0","0","","KANSAS CITY","4.6","20","50","2","1","003","E","YKCK","3","6800","7","Y","2034","1","0","2","SRIX","020516","002","Y","","","000","","1","0","0","0","0","0","0","0","0","0","40","0","42","0","0","3","0","0","0","0","31033","0","M407","","0","0","0","0","M407","2","1","003","43839","","20C209","0","000000","0","0","0","1","1","","","02","27","3","6","","CL","","","","251","","2023","0","0","0","0","0","0","WYANDOTTE","209","","","","N","OTH","000-000-000","Y-KCK022-07A CLASSIFIED A CUT OF CARS THAT OVERSPEED THROUGH RETARDER DUE TO FOREIGN SUBSTANCE ON WH","EELS AND CAUSING RETARDER SYSTEM TO SUFFICIENTLY SLOW RAILCARS DOWN AND IMPACTING THE Y-KCK1031-07A.","CAUSING 4 RAILCARS TO DERAILS. NO HAZMAT RELEASED.","","","","","","","","","","","","","3","39.082185","-94.677828","2","5","K","","","EMPORIA",
"23","02","BNSF","KS0223101","","","","","23","02","BNSF","KS0223101","","","23","02","07","10","26","AM","01","0","0","0","0","","KANSAS CITY","4.6","20","50","2","1","003","E","YKCK","3","7696","7","Y","2034","1","0","2","ITFX","078751","022","Y","","","000","","1","0","0","0","0","0","0","0","0","0","59","0","29","0","0","1","0","0","0","0","9306","3500","M407","","0","0","0","0","M407","2","1","003","43839","","20C209","0","000000","0","1","0","1","1","03","56","03","56","1","6","","CL","","","","251","","2023","0","0","0","0","0","0","WYANDOTTE","209","","","","N","OTH","000-000-000","Y-KCK022-07A CLASSIFIED A CUT OF CARS THAT OVERSPEED THROUGH RETARDER DUE TO FOREIGN SUBSTANCE ON WH","EELS AND CAUSING RETARDER SYSTEM TO SUFFICIENTLY SLOW RAILCARS DOWN AND IMPACTING THE Y-KCK1031-07A.","CAUSING 4 RAILCARS TO DERAILS. NO HAZMAT RELEASED.","","","","","","","","","","","","","0","39.082185","-94.677828","2","5","K","","","EMPORIA",
"23","02","BNSF","KS0223102","","","","","23","02","BNSF","KS0223102","","","23","02","07","2","30","PM","12","0","0","0","0","","KANSAS CITY","6.3","20","50","2","1","003","E","YKCK","3","8200","7","Y","2036","1","0","2","STLX","002105","040","Y","","","000","","1","0","0","0","0","0","0","0","0","0","45","0","46","0","0","0","0","0","0","0","50895","0","M407","","0","0","0","0","M407","2","1","003","50895","","20C209","0","000000","0","0","0","1","1","","","06","31","1","6","","CL","","","","226","","2023","0","0","0","0","0","0","WYANDOTTE","209","","","","N","OTH","000-000-000","Y-KCK1022-07A CLASSIFIED CARS INTO YARD TRACK 2036. ONE RAILCAR WAS OVERSPEED DUE TO GREASE ON WHEEL","S AND HUMP RETARDER FAILED TO SUFFICIENTLY SLOW THE CAR DOWN AND CAUSING DAMAGE TO RAILCAR. NO DERAI","LMENT. NO HAZMAT RELEASED.","","","","","","","","","","","","","3","39.08537","-94.69011","2","5","K","","","EMPORIA",
"23","02","BNSF","KS0223103","","","","","23","02","BNSF","KS0223103","","","23","02","07","8","30","PM","01","0","0","0","0","","KANSAS CITY","5.8","20","40","3","1","003","E","YKCK","3","3781","7","Y","2032","1","0","2","TCIX","175607","022","Y","","","000","","1","0","0","0","0","0","0","0","0","0","41","0","0","0","0","3","0","0","0","0","15797","2000","H308","","0","0","0","0","H308","2","1","003","17797","","20C209","0","000000","0","1","0","2","1","06","","06","","1","6","","CL","","","","176","","2023","0","0","0","0","0","0","WYANDOTTE","209","","","","N","OTH","000-000-000","Y-KCK2031-07A WAS IN THE PROCESS OF DOUBLING OUT TRACK 2031 AND DERAILED 3 RAILCARS DUE TO THE HELPE","R MISTAKENLY UNLOCKED THE SKATE RETARDER FOR TRACK 2032. NO HAZMAT RELEASED.","","","","","","","","","","","","","","0","39.083153","-94.681986","2","5","K","","","EMPORIA",
"23","01","CSX","000209358","","","","","23","01","CSX","000209358","","631785D","23","01","19","10","42","AM","07","2","0","0","0","","WINGATE","0300.4","37","60","2","1","031","R","M652","2","3900","1","Y","SINGLE MAIN TRACK","4","0020.0","1","CSXT","003255","001","N","","","000","","2","0","0","0","0","0","0","0","0","0","14","0","59","0","0","0","0","0","0","0","3500","8178","M303","","0","0","0","0","M303","1","4","031","11678","","37C179","0","000000","0","1","0","1","0","03","57","03","57","1","3","","CL","","","","189","","2023","0","0","0","0","0","0","UNION","179","","","","N","CWR","000-000-000","M65218 STRUCK A TRACTOR-TRAILER STUCK ON ELEVATED CROSSING AT MAIN STREET IN WINGATE, NC.  PROTECTIO","N ALSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARKINGS (STOP LINES & RR XING SYMBOLS).","","","","","","","","","","","","","","0","34.983368","-80.449056","1","1","","","","MONROE",
"23","01","NS","152004","","","","","23","01","NS","152004","","","23","01","14","4","0","PM","12","0","0","0","0","","LEXINGTON","323.00","37","60","3","1","000","E","NOTR","2","0","5","N","CLASS TRACK 17","1","0016","2","TTZX","862766","001","N","","","000","","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","20000","530","H312","","0","0","0","0","H312","2","1","004","70530","","37C057","0","000000","0","0","0","0","0","","","","","3","3","","CL","","","","128","","2023","0","0","0","0","0","0","DAVIDSON","057","","","","N","CWR","000-000-000","E41P214 FOUND A BYPASS COUPLING IN CT17 RESULTING IN AEX 25137 BEING DERAILED AND TTZX 862766 NOT DE","RAILED BUT HAS HEAVY DAMAGE.","","","","","","","","","","","","","","0","35.750594","-80.31829","2","5","K","","","BLUE RIDGE",
"23","02","NS","152420","","","","","23","02","NS","152420","","","23","02","25","10","56","AM","01","0","0","0","0","","LEXINGTON","319.60","37","48","","4","015","E","119P","1","7147","1","Y","DOUBLE MAIN 2","4","0033","1","SOO","116520","007","N","SOO","116520","007","N","3","0","0","0","0","0","0","0","0","0","14","0","111","0","0","0","0","1","0","0","12164","0","E67C","","0","0","0","0","E67C","1","4","015","12164","","37C057","0","000000","0","1","0","1","0","02","31","02","31","1","3","","CL","","","","40","","2023","0","0","0","0","0","0","DAVIDSON","057","","","","N","CWR","000-000-000","119PA25 DERAILED ON MAIN 2 AT MP 319.6..","","","","","","","","","","","","","","","0","35.793915","-80.290489","1","1","J","","","BLUE RIDGE",
"23","02","CSX","000209925","","","","","23","02","CSX","000209925","","","23","02","20","1","15","PM","12","0","0","0","0","","COLUMBUS","0001.0","39","55","2","1","002","E","","3","0","6","N","P14/15","1","0000.0","2","ARMN","112410","001","Y","","","000","","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","6500","0","M204","","0","0","0","0","M204","2","1","005","12526","","39C049","0","000000","0","0","0","0","0","","","","","3","2","","CL","","","","301","","2023","0","0","0","0","0","0","FRANKLIN","049","","","","N","OTH","000-000-000","Y10220 SWITCHED ARMN112410 CAR TO TRACK P14.  ON IMPACT WITH OTHER CARS IN TRACK, THE LADING SHIFTED",", DISLODGING PLUG DOOR BETWEEN P14 AND P15.  Y10220 CONTINUED SWITCHING CARS TO P15. DURING SWITCHIN","G INTO P15, 8 CARS WERE DAMAGED ON P15 AFTER BEING STRUCK WITH CAR DOOR FROM ARMN112410 ON TRACK P14",".","","","","","","","","","","","","0","39.972334","-83.021147","2","5","K","L","","COLUMBUS",
